PARTIDA_GENERICA,DESCRIPCION,,,
239,Otros productos adquiridos como materia prima,,,
241,Productos minerales no metálicos,,,
242,Cemento y productos de concreto,,,
243,"Cal, yeso y productos de yeso",,,
244,Madera y productos de madera,,,
245,Vidrio y productos de vidrio,,,
246,Material eléctrico y electrónico,,,
247,Artículos metálicos para la construcción,,,
248,Materiales complementarios,,,
249,Otros materiales y artículos de construcción y reparación,,,
251,Productos químicos básicos,,,
252,"Fertilizantes, pesticidas y otros agroquímicos",,,
253,Medicinas y productos farmacéuticos,,,
254,"Materiales, accesorios y suministros médicos",,,
255,"Materiales, accesorios y suministros de laboratorio",,,
256,"Fibras sintéticas, hules, plásticos y derivados",,,
259,Otros productos químicos,,,
261,"Combustibles, lubricantes y aditivos",,,
262,Carbón y sus derivados,,,
271,Vestuario y uniformes,,,
272,Prendas de seguridad y protección personal,,,
273,Artículos deportivos,,,
274,Productos textiles,,,
275,"Blancos y otros productos textiles, excepto prendas de vestir",,,
281,Sustancias y materiales explosivos,,,
282,Materiales de seguridad pública,,,
283,Prendas de protección para seguridad pública y nacional,,,
291,Herramientas menores,,,
292,Refacciones y accesorios menores de edificios,,,
293,"Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo",,,
294,Refacciones y accesorios menores de equipo de cómputo y tecnologías de la información,,,
295,Refacciones y accesorios menores de equipo e instrumental médico y de laboratorio,,,
296,Refacciones y accesorios menores de equipo de transporte,,,
297,Refacciones y accesorios menores de equipo de defensa y seguridad,,,
298,Refacciones y accesorios menores de maquinaria y otros equipos,,,
299,Refacciones y accesorios menores otros bienes muebles,,,
311,Energía eléctrica,,,
312,Gas,,,
313,Agua,,,
314,Telefonía tradicional,,,
315,Telefonía celular,,,
316,Servicios de telecomunicaciones y satélites,,,
317,"Servicios de acceso de Internet, redes y procesamiento de información",,,
318,Servicios postales y telegráficos,,,
319,Servicios integrales y otros servicios,,,
321,Arrendamiento de terrenos,,,
322,Arrendamiento de edificios,,,
323,"Arrendamiento de mobiliario y equipo de administración, educacional y recreativo",,,
324,Arrendamiento de equipo e instrumental médico y de laboratorio,,,
325,Arrendamiento de equipo de transporte,,,
326,"Arrendamiento de maquinaria, otros equipos y herramientas",,,
327,Arrendamiento de activos intangibles,,,
328,Arrendamiento financiero,,,
329,Otros arrendamientos,,,
331,"Servicios legales, de contabilidad, auditoría y relacionados",,,
332,"Servicios de diseño, arquitectura, ingeniería y actividades relacionadas",,,
333,"Servicios de consultoría administrativa, procesos, técnica y en tecnologías de la información",,,
334,Servicios de capacitación,,,
335,Servicios de investigación científica y desarrollo,,,
336,"Servicios de apoyo administrativo, traducción, fotocopiado e impresión",,,
337,Servicios de protección y seguridad,,,
338,Servicios de vigilancia,,,
339,"Servicios profesionales, científicos y técnicos integrales",,,
341,Servicios financieros y bancarios,,,
342,"Servicios de cobranza, investigación crediticia y similar",,,
343,"Servicios de recaudación, traslado y custodia de valores",,,
344,Seguros de responsabilidad patrimonial y fianzas,,,
345,Seguro de bienes patrimoniales,,,
346,"Almacenaje, envase y embalaje",,,
347,Fletes y maniobras,,,
348,Comisiones por ventas,,,
349,"Servicios financieros, bancarios y comerciales integrales",,,
351,Conservación y mantenimiento menor de inmuebles,,,
352,"Instalación, reparación y mantenimiento de mobiliario y equipo de administración, educacional y recreativo",,,
353,"Instalación, reparación y mantenimiento de equipo de cómputo y tecnología de la información",,,
354,"Instalación, reparación y mantenimiento de equipo e instrumental médico y de laboratorio",,,
355,Reparación y mantenimiento de equipo de transporte,,,
356,Reparación y mantenimiento de equipo de defensa y seguridad,,,
357,"Instalación, reparación y mantenimiento de maquinaria, otros equipos y herramienta",,,
358,Servicios de limpieza y manejo de desechos,,,
359,Servicios de jardinería y fumigación,,,
361,"Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",,,
362,"Difusión por radio, televisión y otros medios de mensajes comerciales para promover la venta de bienes o servicios",,,
363,"Servicios de creatividad, preproducción y producción de publicidad, excepto Internet",,,
364,Servicios de revelado de fotografías,,,
365,"Servicios de la industria fílmica, del sonido y del video",,,
366,Servicio de creación y difusión de contenido exclusivamente a través de Internet,,,
369,Otros servicios de información,,,
371,Pasajes aéreos,,,
372,Pasajes terrestres,,,
373,"Pasajes marítimos, lacustres y fluviales",,,
374,Autotransporte,,,
375,Viáticos en el país,,,
376,Viáticos en el extranjero,,,
377,Gastos de instalación y traslado de menaje,,,
378,Servicios integrales de traslado y viáticos,,,
379,Otros servicios de traslado y hospedaje,,,
381,Gastos de ceremonial,,,
382,Gastos de orden social y cultural,,,
383,Congresos y convenciones,,,
384,Exposiciones,,,
385,Gastos de representación,,,
391,Servicios funerarios y de cementerios,,,
392,Impuestos y derechos,,,
393,Impuestos y derechos de importación,,,
394,Sentencias y resoluciones por autoridad competente,,,
395,"Penas, multas, accesorios y actualizaciones",,,
396,Otros gastos por responsabilidades,,,
397,Utilidades,,,
398,Impuesto sobre nóminas y otros que se deriven de una relación laboral,,,
399,Otros servicios generales,,,
411,Asignaciones presupuestarias al Poder Ejecutivo,,,
412,Asignaciones presupuestarias al Poder Legislativo,,,
413,Asignaciones presupuestarias al Poder Judicial,,,
414,Asignaciones presupuestarias a Organos Autónomos,,,
414,Asignaciones presupuestarias a Órganos Autónomos,,,
415,Transferencias internas otorgadas a entidades paraestatales no empresariales y no financieras,,,
416,Transferencias internas otorgadas a entidades paraestatales empresariales y no financieras,,,
417,Transferencias internas otorgadas a fideicomisos públicos empresariales y no financieros,,,
418,Transferencias internas otorgadas a instituciones paraestatales públicas financieras,,,
419,Transferencias internas otorgadas a fideicomisos públicos financieros,,,
421,Transferencias otorgadas a entidades paraestatales no empresariales y no financieras,,,
422,Transferencias otorgadas para entidades paraestatales empresariales y no financieras,,,
423,Transferencias otorgadas para instituciones paraestatales públicas financieras,,,
424,Transferencias otorgadas a entidades federativas y municipios,,,
425,Transferencias a fideicomisos de entidades federativas y municipios,,,
431,Subsidios a la producción,,,
432,Subsidios a la distribución,,,
433,Subsidios a la inversión,,,
434,Subsidios a la prestación de servicios públicos,,,
435,Subsidios para cubrir diferenciales de tasas de interés,,,
436,Subsidios a la vivienda,,,
437,Subvenciones al consumo,,,
438,Subsidios a Entidades Federativas y Municipios,,,
439,Otros Subsidios,,,
441,Ayudas sociales a personas,,,
442,Becas y otras ayudas para programas de capacitación,,,
443,Ayudas sociales a instituciones de enseñanza,,,
444,Ayudas sociales a actividades científicas o académicas,,,
445,Ayudas sociales a instituciones sin fines de lucro,,,
446,Ayudas sociales a cooperativas,,,
447,Ayudas sociales a entidades de interés público,,,
448,Ayudas por desastres naturales y otros siniestros,,,
451,Pensiones,,,
452,Jubilaciones,,,
459,Otras pensiones y jubilaciones,,,
461,Transferencias a fideicomisos del Poder Ejecutivo,,,
462,Transferencias a fideicomisos del Poder Legislativo,,,
463,Transferencias a fideicomisos del Poder Judicial,,,
464,Transferencias a fideicomisos públicos de entidades paraestatales no empresariales y no financieras,,,
465,Transferencias a fideicomisos públicos de entidades paraestatales empresariales y no financieras,,,
466,Transferencias a fideicomisos de instituciones públicas financieras,,,
469,Otras transferencias a fideicomisos,,,
471,Transferencias por obligación de ley,,,
481,Donativos a instituciones sin fines de lucro,,,
482,Donativos a entidades federativas,,,
483,Donativos a fideicomisos privados,,,
484,Donativos a fideicomisos estatales,,,
485,Donativos internacionales,,,
491,Transferencias para gobiernos extranjeros,,,
492,Transferencias para organismos internacionales,,,
493,Transferencias para el sector privado externo,,,
511,Muebles de oficina y estantería,,,
512,"Muebles, excepto de oficina y estantería",,,
513,"Bienes artísticos, culturales y científicos",,,
514,Objetos de valor,,,
515,Equipo de cómputo y de tecnologías de la información,,,
519,Otros mobiliarios y equipos de administración,,,
521,Equipos y aparatos audiovisuales,,,
522,Aparatos deportivos,,,
523,Cámaras fotográficas y de video,,,
529,Otro mobiliario y equipo educacional y recreativo,,,
531,Equipo médico y de laboratorio,,,
532,Instrumental médico y de laboratorio,,,
541,Vehículos y Equipo Terrestre,,,
542,Carrocerías y remolques,,,
543,Equipo aeroespacial,,,
544,Equipo ferroviario,,,
545,Embarcaciones,,,
549,Otros equipos de transporte,,,
551,Equipo de defensa y seguridad,,,
561,Maquinaria y equipo agropecuario,,,
562,Maquinaria y equipo industrial,,,
563,Maquinaria y equipo de construcción,,,
564,"Sistemas de aire acondicionado, calefacción y de refrigeración industrial y comercial",,,
565,Equipo de comunicación y telecomunicación,,,
566,"Equipos de generación eléctrica, aparatos y accesorios eléctricos",,,
567,Herramientas y máquinas-herramienta,,,
569,Otros equipos,,,
571,Bovinos,,,
572,Porcinos,,,
573,Aves,,,
574,Ovinos y caprinos,,,
575,Peces y acuicultura,,,
576,Equinos,,,
577,Especies menores y de zoológico,,,
578,Arboles y plantas,,,
579,Otros activos biológicos,,,
581,Terrenos,,,
582,Viviendas,,,
583,Edificios no residenciales,,,
589,Otros bienes inmuebles,,,
591,Software,,,
592,Patentes,,,
593,Marcas,,,
594,Derechos,,,
595,Concesiones,,,
596,Franquicias,,,
597,Licencias informáticas e intelectuales,,,
598,"Licencias industriales, comerciales y otras",,,
599,Otros activos intangibles,,,
611,Edificación habitacional,,,
612,Edificación no habitacional,,,
613,"Construcción de obras para el abastecimiento de agua, petróleo, gas, electricidad y telecomunicaciones",,,
614,División de terrenos y construcción de obras de urbanización,,,
615,Construcción de vías de comunicación,,,
616,Otras construcciones de ingeniería civil u obra pesada,,,
617,Instalaciones y equipamiento en construcciones,,,
619,Trabajos de acabados en edificaciones y otros trabajos especializados,,,
621,Edificación habitacional,,,
622,Edificación no habitacional,,,
623,"Construcción de obras para el abastecimiento de agua, petróleo, gas, electricidad y telecomunicaciones",,,
624,División de terrenos y construcción de obras de urbanización,,,
625,Construcción de vías de comunicación,,,
626,Otras construcciones de ingeniería civil u obra pesada,,,
627,Instalaciones y equipamiento en construcciones,,,
629,Trabajos de acabados en edificaciones y otros trabajos especializados,,,
631,"Estudios, formulación y evaluación de proyectos productivos no incluidos en conceptos anteriores de este capítulo",,,
632,Ejecución de proyectos productivos no incluidos en conceptos anteriores de este capítulo,,,
711,Créditos otorgados por entidades federativas y municipios al sector social y privado para el fomento de actividades productivas,,,
712,Créditos otorgados por las entidades federativas a municipios para el fomento de actividades productivas,,,
721,Acciones y participaciones de capital en entidades paraestatales no empresariales y no financieras con fines de política económica,,,
722,Acciones y participaciones de capital en entidades paraestatales empresariales y no financieras con fines de política económica,,,
723,Acciones y participaciones de capital en instituciones paraestatales públicas financieras con fines de política económica,,,
724,Acciones y participaciones de capital en el sector privado con fines de política económica,,,
725,Acciones y participaciones de capital en organismos internacionales con fines de política económica,,,
726,Acciones y participaciones de capital en el sector externo con fines de política económica,,,
727,Acciones y participaciones de capital en el sector público con fines de gestión de liquidez,,,
728,Acciones y participaciones de capital en el sector privado con fines de gestión de liquidez,,,
729,Acciones y participaciones de capital en el sector externo con fines de gestión de liquidez,,,
731,Bonos,,,
732,Valores representativos de deuda adquiridos con fines de política económica,,,
733,Valores representativos de deuda adquiridos con fines de gestión de liquidez,,,
734,Obligaciones negociables adquiridas con fines de política económica,,,
735,Obligaciones negociables adquiridas con fines de gestión de liquidez,,,
739,Otros valores,,,
741,Concesión de préstamos a entidades paraestatales no empresariales y no financieras con fines de política económica,,,
742,Concesión de préstamos a entidades paraestatales empresariales y no financieras con fines de política económica,,,
743,Concesión de préstamos a instituciones paraestatales públicas financieras con fines de política económica,,,
744,Concesión de préstamos a entidades federativas y municipios con fines de política económica,,,
745,Concesión de préstamos al sector privado con fines de política económica,,,
746,Concesión de préstamos al sector externo con fines de política económica,,,
747,Concesión de préstamos al sector público con fines de gestión de liquidez,,,
748,Concesión de préstamos al sector privado con fines de gestión de liquidez,,,
749,Concesión de préstamos al sector externo con fines de gestión de liquidez,,,
751,Inversiones en fideicomisos del Poder Ejecutivo,,,
752,Inversiones en fideicomisos del Poder Legislativo,,,
753,Inversiones en fideicomisos del Poder Judicial,,,
754,Inversiones en fideicomisos públicos no empresariales y no financieros,,,
755,Inversiones en fideicomisos públicos empresariales y no financieros,,,
756,Inversiones en fideicomisos públicos financieros,,,
757,Inversiones en fideicomisos de entidades federativas,,,
758,Inversiones en fideicomisos de municipios,,,
759,Otras inversiones en fideicomisos,,,
761,Depósitos a largo plazo en moneda nacional,,,
762,Depósitos a largo plazo en moneda extranjera,,,
791,Contingencias por fenómenos naturales,,,
792,Contingencias socioeconómicas,,,
799,Otras erogaciones especiales,,,
811,Fondo general de participaciones,,,
812,Fondo de fomento municipal,,,
813,Participaciones de las entidades federativas a los municipios,,,
814,Otros conceptos participables de la Federación a entidades federativas,,,
815,Otros conceptos participables de la Federación a municipios,,,
816,Convenios de colaboración administrativa,,,
831,Aportaciones de la Federación a las entidades federativas,,,
832,Aportaciones de la Federación a municipios,,,
833,Aportaciones de las entidades federativas a los municipios,,,
834,Aportaciones previstas en leyes y decretos al sistema de protección social,,,
835,Aportaciones previstas en leyes y decretos compensatorias a entidades federativas y municipios,,,
851,Convenios de reasignación,,,
852,Convenios de descentralización,,,
853,Otros convenios,,,
911,Amortización de la deuda interna con instituciones de crédito,,,
912,Amortización de la deuda interna por emisión de títulos y valores,,,
913,Amortización de arrendamientos financieros nacionales,,,
914,Amortización de la deuda externa con instituciones de crédito,,,
915,Amortización de deuda externa con organismos financieros internacionales,,,
916,Amortización de la deuda bilateral,,,
917,Amortización de la deuda externa por emisión de títulos y valores,,,
918,Amortización de arrendamientos financieros internacionales,,,
921,Intereses de la deuda interna con instituciones de crédito,,,
922,Intereses derivados de la colocación de títulos y valores,,,
923,Intereses por arrendamientos financieros nacionales,,,
924,Intereses de la deuda externa con instituciones de crédito,,,
925,Intereses de la deuda con organismos financieros Internacionales,,,
926,Intereses de la deuda bilateral,,,
927,Intereses derivados de la colocación de títulos y valores en el exterior,,,
928,Intereses por arrendamientos financieros internacionales,,,
931,Comisiones de la deuda pública interna,,,
932,Comisiones de la deuda pública externa,,,
941,Gastos de la deuda pública interna,,,
942,Gastos de la deuda pública externa,,,
951,Costos por coberturas,,,
961,Apoyos a intermediarios financieros,,,
962,Apoyos a ahorradores y deudores del Sistema Financiero Nacional,,,
991,ADEFAS,,,
214,"Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones",,,
215,Material impreso e información digital,,,
216,Material de limpieza,,,
213,Material estadístico y geográfico,,,
6108,Mantenimiento y rehabilitación de obras públicas,,,
1101,Dietas,,,
1103,Sueldos base,,,
1201,Honorarios,,,
1202,Sueldos base al personal eventual,,,
1301,Prima quinquenal por años de servicios efectivos prestados,,,
1305,Primas de vacaciones y dominical,,,
1306,Gratificación de fin de año,,,
1307,Compensaciones por servicios especiales,,,
1319,Remuneraciones por horas extraordinarias,,,
1322,Compensaciones adicionales por servicios especiales,,,
1401,Aportaciones al ISSSTE,,,
1403,Aportaciones al FOVISSSTE,,,
1404,Cuotas para el seguro de vida del personal civil,,,
1406,Cuotas para el seguro de gastos médicos del personal civil,,,
1407,Cuotas para el seguro de separación individualizado,,,
1413,Aportaciones al Sistema de Ahorro para el Retiro,,,
1414,Aportaciones al seguro de cesantía en edad avanzada y vejez,,,
1415,Depósitos para el ahorro solidario,,,
1505,Prestaciones de retiro,,,
1507,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo,,,
1509,Compensación garantizada,,,
1511,Asignaciones adicionales al sueldo,,,
1512,Otras prestaciones,,,
1702,Estímulos al personal operativo,,,
2101,Materiales y útiles de oficina,,,
2102,Material de limpieza,,,
2103,Material de apoyo informativo,,,
2105,Materiales y útiles de impresión y reproducción,,,
2106,Materiales y útiles para el procesamiento en equipos y bienes informáticos,,,
2204,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,,,
2207,Productos alimenticios para animales,,,
2301,"Refacciones, accesorios y herramientas",,,
2302,Refacciones y accesorios para equipo de cómputo,,,
2303,Utensilios para el servicio de alimentación,,,
2401,Materiales de construcción,,,
2402,Estructuras y manufacturas,,,
2403,Materiales complementarios,,,
2404,Material eléctrico y electrónico,,,
2504,Medicinas y productos farmacéuticos,,,
2505,"Materiales, accesorios y suministros médicos",,,
2603,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",,,
2701,"Vestuario, uniformes y blancos",,,
2702,Prendas de protección personal,,,
2703,Artículos deportivos,,,
3101,Servicio postal,,,
3103,Servicio telefónico convencional,,,
3104,Servicio de telefonía celular,,,
3106,Servicio de energía eléctrica,,,
3107,Servicio de agua,,,
3109,Servicios de conducción de señales analógicas y digitales,,,
3203,Arrendamiento de maquinaria y equipo,,,
3204,Arrendamiento de equipo y bienes informáticos,,,
3209,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servidores públicos",,,
3304,Otras asesorías para la operación de programas,,,
3305,Servicios para capacitación a servidores públicos,,,
3306,Servicios de informática,,,
3308,Estudios e investigaciones,,,
3309,Servicios relacionados con traducciones,,,
3402,Fletes y maniobras,,,
3403,Servicios bancarios y financieros,,,
3404,Seguros de bienes patrimoniales,,,
3407,Otros impuestos y derechos,,,
3409,"Patentes, regalías y otros",,,
3411,Servicios de vigilancia,,,
3413,Otros servicios comerciales,,,
3414,Subcontratación de servicios con terceros,,,
3418,Impuesto sobre nóminas,,,
3501,Mantenimiento y conservación de mobiliario y equipo de administración,,,
3502,Mantenimiento y conservación de bienes informáticos,,,
3503,Mantenimiento y conservación de maquinaria y equipo,,,
3504,Mantenimiento y conservación de inmuebles,,,
3505,"Servicios de lavandería, limpieza, higiene y fumigación",,,
3506,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",,,
3602,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,,,
3603,Información en medios masivos derivada de la operación y administración de las dependencias y entidades,,,
3701,Difusión de mensajes sobre programas y actividades gubernamentales,,,
3803,Gastos de orden social,,,
3804,Congresos y convenciones,,,
3811,Pasajes nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,,,
3813,Pasajes internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
3817,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,,,
3819,Viáticos en el extranjero para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
3826,Cuotas y aportaciones a organismos internacionales,,,
3827,Asignaciones a los grupos parlamentarios,,,
3828,Servicios integrales nacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
3901,"Penas, multas, accesorios y actualizaciones",,,
3904,Erogaciones por resoluciones judiciales,,,
5101,Mobiliario,,,
5102,Equipo de administración,,,
5103,Equipo educacional y recreativo,,,
5104,Bienes artísticos y culturales,,,
5202,Maquinaria y equipo industrial,,,
5204,Equipos y aparatos de comunicaciones y telecomunicaciones,,,
5205,Maquinaria y equipo eléctrico y electrónico,,,
5206,Bienes informáticos,,,
5304,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",,,
5401,Equipo médico y de laboratorio,,,
7501,"Gastos relacionados con actividades culturales, deportivas y de ayuda extraordinaria",,,
7503,Funerales y pagas de defunción,,,
7504,"Premios, recompensas, pensiones de gracia y pensión recreativa estudiantil",,,
1409,"Seguro de responsabilidad civil, asistencia legal y otros seguros",,,
1701,Estímulos por productividad y eficiencia,,,
1801,Incrementos a las percepciones,,,
1803,Otras medidas de carácter laboral y económicas,,,
1804,Previsiones para aportaciones al ISSSTE,,,
1805,Previsiones para aportaciones al FOVISSSTE,,,
1806,Previsiones para aportaciones al Sistema de Ahorro para el Retiro,,,
1807,Previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez,,,
1808,Previsiones para los depósitos al ahorro solidario,,,
2104,Material estadístico y geográfico,,,
2206,Productos alimenticios para el personal derivado de actividades extraordinarias,,,
2503,"Plaguicidas, abonos y fertilizantes",,,
2604,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales asignados a servidores públicos",,,
2605,"Combustibles, lubricantes y aditivos para maquinaria, equipo de producción y servicios administrativos",,,
3102,Servicio telegráfico,,,
3105,Servicio de radiolocalización,,,
3111,Contratación de otros servicios,,,
3201,Arrendamiento de edificios y locales,,,
3310,Servicios relacionados con certificación de procesos,,,
3311,Servicios relacionados con procedimientos jurisdiccionales,,,
3312,Servicios relacionados con trabajo administrativo,,,
3313,Servicios de auditoría para la fiscalización superior de la Cuenta Pública,,,
3401,"Almacenaje, embalaje y envase",,,
3601,"Impresiones de documentos oficiales para la prestación de servicios públicos, identificación, formatos administrativos y fiscales, formas valoradas, certificados y títulos",,,
3607,Servicios relacionados con monitoreo de información en medios masivos,,,
3808,Pasajes terrestres nacionales para labores en campo y de supervisión,,,
3821,Gastos para alimentación de servidores públicos de mando,,,
3832,Pasajes aéreos nacionales para labores en campo y de supervisión,,,
5501,Herramientas y máquinas herramienta,,,
5905,Otros bienes inmuebles,,,
6107,Servicios relacionados con obras públicas,,,
7511,Apoyo a voluntarios que participan en diversos programas Federales,,,
7512,Compensaciones por servicios de carácter social,,,
6105,Instalaciones y obras de construcción especializada,,,
1308,Compensaciones por servicios eventuales,,,
1408,Cuotas para el seguro colectivo de retiro,,,
1513,Apoyos a la capacitación de los servidores públicos,,,
3108,Servicios de telecomunicaciones,,,
3207,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servicios administrativos",,,
3410,Diferencias por variaciones en el tipo de cambio,,,
3802,Gastos de ceremonial de los titulares de las dependencias y entidades,,,
3805,Exposiciones,,,
7505,Donativos a instituciones sin fines de lucro,,,
1514,Pago por riesgo,,,
2501,Materias primas de producción,,,
2502,Sustancias químicas,,,
2602,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",,,
3110,Servicios integrales de telecomunicación,,,
3206,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servicios públicos y la operación de programas públicos",,,
3417,Servicios integrales,,,
3801,Gastos de ceremonial del titular del Ejecutivo Federal,,,
3905,Pago de liquidaciones,,,
5402,Instrumental médico y de laboratorio,,,
5902,Otros bienes muebles,,,
2108,Materiales y suministros para planteles educativos,,,
5201,Maquinaria y equipo agropecuario,,,
5203,Maquinaria y equipo de construcción,,,
5502,Refacciones y accesorios,,,
2107,Material para información en actividades de investigación científica y tecnológica,,,
3823,Gastos de seguridad pública y nacional,,,
3824,Gastos en actividades de seguridad y logística del estado mayor presidencial,,,
5801,Maquinaria y equipo de defensa y seguridad pública,,,
5802,Equipo de seguridad pública y nacional,,,
1320,Compensaciones de servicios,,,
2201,"Productos alimenticios para el Ejército, Fuerza Aérea y Armada Mexicanos, y para los efectivos que participen en programas de seguridad pública",,,
2506,"Materiales, accesorios y suministros de laboratorio",,,
2801,Sustancias y materiales explosivos,,,
2802,Materiales de seguridad pública,,,
2803,Prendas de protección para seguridad pública y nacional,,,
3405,Impuestos y derechos de importación,,,
1802,Creación de plazas,,,
3213,Otros arrendamientos (Sólo para el Ramo 03 Poder Judicial),,,
5305,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales destinados a servidores públicos",,,
6102,Obras de construcción para edificios,,,
7502,Gastos por servicios de traslado de personas,,,
7801,Aportaciones a fideicomisos públicos,,,
3820,Instalación del personal Federal,,,
3903,Otros gastos por responsabilidades,,,
1327,Antigüedad,,,
2606,Combustibles para plantas productivas,,,
3210,Arrendamiento de mobiliario,,,
6103,Obras de construcción de ingeniería civil,,,
4204,Campeche,,,
4207,Chiapas,,,
4209,Distrito Federal,,,
4211,Guanajuato,,,
4213,Hidalgo,,,
4217,Morelos,,,
4220,Oaxaca,,,
4225,Sinaloa,,,
4226,Sonora,,,
4230,Veracruz,,,
4231,Yucatán,,,
2203,Productos alimenticios para el personal que realiza labores en campo o de supervisión,,,
3810,Pasajes nacionales asociados a desastres naturales,,,
3816,Viáticos nacionales asociados a desastres naturales,,,
2902,Mercancías para su distribución a la población,,,
3822,Gastos para operativos y trabajos de campo en áreas rurales,,,
1106,Asignaciones por radicación en el extranjero,,,
1329,Gastos contingentes para el personal radicado en el extranjero,,,
3807,Gastos de las oficinas del servicio exterior mexicano,,,
4203,Baja California Sur,,,
4205,Coahuila,,,
4206,Colima,,,
4208,Chihuahua,,,
4212,Guerrero,,,
4219,Nuevo León,,,
4222,Querétaro,,,
4224,San Luis Potosí,,,
4227,Tabasco,,,
4228,Tamaulipas,,,
4229,Tlaxcala,,,
4232,Zacatecas,,,
4233,Subsidios a las entidades federativas y municipios,,,
2202,"Productos alimenticios para personas derivado de la prestación de servicios públicos en unidades de salud, educativas, de readaptación social y otras",,,
3301,"Asesorías asociadas a convenios, tratados o acuerdos",,,
4216,Michoacán,,,
6101,Obras de preedificación en terrenos de construcción,,,
1410,Aportaciones al IMSS,,,
1411,Aportaciones al INFONAVIT,,,
3202,Arrendamiento de terrenos,,,
3814,Viáticos nacionales para labores en campo y de supervisión,,,
3307,Servicios estadísticos y geográficos,,,
2601,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a la ejecución de programas de seguridad pública y nacional",,,
3205,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para la ejecución de programas de seguridad pública y nacional",,,
5301,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales para la ejecución de programas de seguridad pública y nacional",,,
3809,Pasajes nacionales asociados a los programas de seguridad pública y nacional,,,
3812,Pasajes internacionales asociados a los programas de seguridad pública y nacional,,,
3818,Viáticos en el extranjero asociados a los programas de seguridad pública y nacional,,,
4202,Baja California,,,
4210,Durango,,,
4214,Jalisco,,,
